type,key,src_lat,src_long,dest_lat,dest_long,src,dest,order_hour,Load
Shipment,MotherHub_ABL-MotherHub_BNO-3,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,3,5
Shipment,MotherHub_ABL-MotherHub_BNO-4,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,4,3
Shipment,MotherHub_ABL-MotherHub_BNO-5,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,5,3
Shipment,MotherHub_ABL-MotherHub_BNO-6,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,6,5
Shipment,MotherHub_ABL-MotherHub_BNO-7,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,7,11
Shipment,MotherHub_ABL-MotherHub_BNO-8,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,8,21
Shipment,MotherHub_ABL-MotherHub_BNO-9,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,9,26
Shipment,MotherHub_ABL-MotherHub_BNO-10,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,10,34
Shipment,MotherHub_ABL-MotherHub_BNO-11,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,11,39
Shipment,MotherHub_ABL-MotherHub_BNO-12,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,12,45
Shipment,MotherHub_ABL-MotherHub_BNO-13,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,13,42
Shipment,MotherHub_ABL-MotherHub_BNO-14,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,14,43
Shipment,MotherHub_ABL-MotherHub_BNO-15,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,15,43
Shipment,MotherHub_ABL-MotherHub_BNO-16,30.396612,76.8116,28.544563,77.031259,MotherHub_ABL,MotherHub_BNO,16,38
