Type,key,National_connect_lat,National_connect_long,zonal_connect_lat,zonal_connect_long,National_connect,zonal_connect,Ready_time,Load
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-8.36083333333333,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,30099,41
Shipment,MOTHERHUB_PTI-MOTHERHUB_AMD-15.5811111111111,28.294166,76.855804,22.8978044,72.5902141,MOTHERHUB_PTI,MOTHERHUB_AMD,56092,95
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-3-0,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-3-1,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,10800,7751
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-8.36083333333333,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,30099,237
Shipment,MOTHERHUB_PTI-MOTHERHUB_BIL-15.5811111111111,28.294166,76.855804,19.2374987,73.0362352,MOTHERHUB_PTI,MOTHERHUB_BIL,56092,405
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-3-0,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-3-1,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-3-2,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-3-3,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,10800,607
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-8.36083333333333,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,30099,323
Shipment,MOTHERHUB_PTI-MOTHERHUB_BLR-15.5811111111111,28.294166,76.855804,12.9842798,77.8242648,MOTHERHUB_PTI,MOTHERHUB_BLR,56092,565
Shipment,MOTHERHUB_PTI-MOTHERHUB_CHN-3,28.294166,76.855804,13.04591,80.067723,MOTHERHUB_PTI,MOTHERHUB_CHN,10800,4707
Shipment,MOTHERHUB_PTI-MOTHERHUB_CHN-8.36083333333333,28.294166,76.855804,13.04591,80.067723,MOTHERHUB_PTI,MOTHERHUB_CHN,30099,44
Shipment,MOTHERHUB_PTI-MOTHERHUB_CHN-15.5811111111111,28.294166,76.855804,13.04591,80.067723,MOTHERHUB_PTI,MOTHERHUB_CHN,56092,81
Shipment,MOTHERHUB_PTI-MOTHERHUB_JAI-3,28.294166,76.855804,26.948928,75.761927,MOTHERHUB_PTI,MOTHERHUB_JAI,10800,5272
Shipment,MOTHERHUB_PTI-MOTHERHUB_JAI-8.36083333333333,28.294166,76.855804,26.948928,75.761927,MOTHERHUB_PTI,MOTHERHUB_JAI,30099,73
Shipment,MOTHERHUB_PTI-MOTHERHUB_JAI-15.5811111111111,28.294166,76.855804,26.948928,75.761927,MOTHERHUB_PTI,MOTHERHUB_JAI,56092,221
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-3-0,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-3-1,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-3-2,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-3-3,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,10800,1780
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-8.36083333333333,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,30099,232
Shipment,MOTHERHUB_PTI-MOTHERHUB_KOL-15.5811111111111,28.294166,76.855804,22.708183,88.28565,MOTHERHUB_PTI,MOTHERHUB_KOL,56092,464
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-3-0,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,10800,9000
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-3-1,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,10800,1129
Shipment,MOTHERHUB_PTI-MOTHERHUB_MED-8.36083333333333,28.294166,76.855804,17.580519,78.469527,MOTHERHUB_PTI,MOTHERHUB_MED,30099,104
