+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985988503168E17                   | 
| noVehicles    | 36                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 3       | 2-MOTHERHUB_BLR-32   | end                   | -               | 187812          | undef           | 11494077        |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 4       | 3-MOTHERHUB_BLR-32   | start                 | -               | undef           | 0               | 0               |
| 4       | 3-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_BLR-MOTHERHUB_BAM | 0               | 0               | 0               |
| 4       | 3-MOTHERHUB_BLR-32   | pickupShipment        | MOTHERHUB_MED-MOTHERHUB_BAM | 30331           | 30331           | 1856267         |
| 4       | 3-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_BLR-MOTHERHUB_BAM | 102555          | 102555          | 6276338         |
| 4       | 3-MOTHERHUB_BLR-32   | deliverShipment       | MOTHERHUB_MED-MOTHERHUB_BAM | 102555          | 102555          | 6276338         |
| 4       | 3-MOTHERHUB_BLR-32   | end                   | -               | 102555          | undef           | 6276338         |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| 5       | 1-MOTHERHUB_KOL-24   | start                 | -               | undef           | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_IXR | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_AMD | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_STV | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_MUM | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_BIL | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_PUNE | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_GOA | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_CHN | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_BLR | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-MOTHERHUB_CJB | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_KOL-COCHINTCHUB_KAM | 0               | 0               | 0               |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_IXR | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_IDR | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_AMD | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_STV | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_PUNE | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_BIL | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_MUM | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_GOA | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_CHN | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_BLR | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_CJB | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-COCHINTCHUB_KAM | 16285           | 16285           | 1113883         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_GOA | 83320           | 83320           | 5699065         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_JAI | 83320           | 83320           | 5699065         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_STV | 83320           | 83320           | 5699065         |
| 5       | 1-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_AMD | 83320           | 83320           | 5699065         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_CHN | 83320           | 83320           | 5699065         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_CHN | 83320           | 83320           | 5699065         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_BLR | 96114           | 96114           | 6574211         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_BLR | 96114           | 96114           | 6574211         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_CJB | 108111          | 108111          | 7394815         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_CJB | 108111          | 108111          | 7394815         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-COCHINTCHUB_KAM | 115489          | 115489          | 7899459         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-COCHINTCHUB_KAM | 115489          | 115489          | 7899459         |
| 5       | 1-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_CHN-MOTHERHUB_GOA | 149498          | 149498          | 10225659        |
