Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Total
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.98333333333333,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,17940,179
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-7.91472222222222,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,28493,9
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.18805555555555,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,29477,12
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.58805555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,30917,84
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.8575,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,31887,14
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-9.13111111111111,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,32872,18
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-9.39666666666666,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,33828,9
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.192222222222227,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,692,281
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.454722222222216,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,1637,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.716666666666669,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,2580,14
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-13.9855555555556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,50348,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-17.9336111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,64561,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-19.6308333333333,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,70671,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-2.74361111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,9877,943
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-20.0286111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,72103,14
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-21.2561111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,76522,13
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.1461111111111,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,79726,27
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.4127777777778,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,80686,17
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.8972222222222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,82430,749
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-22.9322222222222,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,82556,286
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-23.2063888888889,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,83543,23
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-3,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,10800,4200
