Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,Delivery_Start_time,Delivery_end_time
Shipment,MotherHub_KOL_MotherHub_BNL,22.708183,88.28565,28.544869,77.128134,MotherHub_KOL,MotherHub_BNL,97200,1753,97200,345600
Shipment,MotherHub_KOL_MotherHub_RAI,22.708183,88.28565,22.056106,82.171855,MotherHub_KOL,MotherHub_RAI,97200,1732,97200,345600
Shipment,MotherHub_MED_MotherHub_RAI,17.580519,78.469527,22.056106,82.171855,MotherHub_MED,MotherHub_RAI,97200,1718,97200,345600
Shipment,MotherHub_BLR_MotherHub_AMD,12.983737,77.824387,22.8978044,72.5902141,MotherHub_BLR,MotherHub_AMD,97200,1705,97200,345600
Shipment,MotherHub_BLR_MotherHub_RAI,12.983737,77.824387,22.056106,82.171855,MotherHub_BLR,MotherHub_RAI,97200,1689,97200,345600
Shipment,MotherHub_BIL_MOTHERHUB_LKO,19.2374987,73.0362352,26.755912,80.910939,MotherHub_BIL,MOTHERHUB_LKO,97200,1541,97200,345600
Shipment,MotherHub_BLR_MotherHub_GAU,12.983737,77.824387,26.043197,91.705232,MotherHub_BLR,MotherHub_GAU,97200,1510,97200,345600
Shipment,MotherHub_BLR_MotherHub_PAT,12.983737,77.824387,25.587197,85.185842,MotherHub_BLR,MotherHub_PAT,97200,1460,97200,345600
Shipment,MotherHub_BLR_MotherHub_ABL,12.983737,77.824387,30.396612,76.8116,MotherHub_BLR,MotherHub_ABL,97200,1217,97200,345600
Shipment,MotherHub_MED_MotherHub_Goa,17.580519,78.469527,15.3682554,73.946764,MotherHub_MED,MotherHub_Goa,97200,946,97200,345600
Shipment,MotherHub_KOL_MotherHub_BLR,22.708183,88.28565,12.983737,77.824387,MotherHub_KOL,MotherHub_BLR,97200,906,97200,345600
Shipment,MotherHub_BLR_MOTHERHUB_LKO,12.983737,77.824387,26.755912,80.910939,MotherHub_BLR,MOTHERHUB_LKO,97200,884,97200,345600
Shipment,MotherHub_MED_MotherHub_PAT,17.580519,78.469527,25.587197,85.185842,MotherHub_MED,MotherHub_PAT,97200,877,97200,345600
Shipment,MotherHub_CHN_MotherHub_BLR,13.04591,80.067723,12.983737,77.824387,MotherHub_CHN,MotherHub_BLR,97200,875,97200,345600
