Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,ready_time,Load,delivery_time
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-14.5180694444445,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,52265,336,215211
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-16.7855138888896,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,60428,246,223374
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-17.3289583333325,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,62384,405,225331
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-2.40129166666665,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,8645,1564,171591
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-6.43754166666654,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,23175,723,186122
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-7.44755555555498,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,26811,202,189758
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-8.09091666666665,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,29127,191,192074
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL-9.95291666666654,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,35830,481,198777
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-0.0192222222222256,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,69,142,208701
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-0.815555555555227,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,2936,188,211568
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-11.0055972222228,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,39620,48,248252
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-11.8114722222231,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,42521,3098,251153
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-16.6431527777773,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,59915,1891,268547
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-18.8323888888889,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,67797,309,276428
Shipment,MOTHERHUB_MED-MOTHERHUB_PTI-2.11925000000069,17.580519,78.469527,28.294166,76.855804,MOTHERHUB_MED,MOTHERHUB_PTI,7629,107,216261
