Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-21.2561111111111,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,76522,31,
Shipment,MOTHERHUB_KOL-MOTHERHUB_AMD-3,22.708183,88.28565,22.8978044,72.5902141,MOTHERHUB_KOL,MOTHERHUB_AMD,10800,179,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-13.9855555555556,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,50348,159,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-17.9336111111111,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,64561,187,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-19.6308333333333,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,70671,128,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-20.0286111111111,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,72103,165,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-21.2561111111111,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,76522,170,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BIL-3,22.708183,88.28565,19.2374987,73.0362352,MOTHERHUB_KOL,MOTHERHUB_BIL,10800,763,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-13.9855555555556,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,50348,222,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-17.9336111111111,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,64561,227,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-19.6308333333333,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,70671,148,
Shipment,MOTHERHUB_KOL-MOTHERHUB_BLR-20.0286111111111,22.708183,88.28565,12.9842798,77.8242648,MOTHERHUB_KOL,MOTHERHUB_BLR,72103,188,
