Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Leg2_modified_reach_time,Load
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-16.5155555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,59456,334
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-19.8716666666667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,71538,299
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.37805555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,8561,13
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.66277777777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,9586,21
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-2.94638888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10607,17
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-21.9852777777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,79147,179
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-22.5375,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,81135,12
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-22.8033333333333,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,82092,9
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-23.2033333333333,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,83532,84
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-23.4730555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,84503,14
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-23.7383333333333,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,85458,9
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10800,2890
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.32805555555556,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,15581,12
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.49138888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,16169,566
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.64722222222223,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,16730,35
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-5.01777777777778,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,18064,70
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-5.55388888888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,19994,168
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.0430555555555543,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,155,42
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.245833333333337,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,885,14
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.63055555555556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,2270,446
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-0.716666666666669,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,2580,281
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-13.9855555555556,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,50348,12
Shipment,MOTHERHUB_KOL-MOTHERHUB_BBI-15.2269444444444,22.708183,88.28565,20.295471,85.84707,MOTHERHUB_KOL,MOTHERHUB_BBI,54817,525
