+--------------------------+
| problem                  |
+---------------+----------+
| indicator     | value    |
+---------------+----------+
| noJobs        | 506      | 
| noServices    | 0        | 
| noShipments   | 506      | 
| noBreaks      | 0        | 
| fleetsize     | FINITE   | 
+--------------------------+
+----------------------------------------------------------+
| solution                                                 |
+---------------+------------------------------------------+
| indicator     | value                                    |
+---------------+------------------------------------------+
| costs         | 2.17935985984888192E17                   | 
| noVehicles    | 37                                       | 
| unassgndJobs  | 4                                        | 
+----------------------------------------------------------+
+--------------------------------------------------------------------------------------------------------------------------------+
| detailed solution                                                                                                              |
+---------+----------------------+-----------------------+-----------------+-----------------+-----------------+-----------------+
| route   | vehicle              | activity              | job             | arrTime         | endTime         | costs           |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_CHN | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_BLR | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_IXR-MOTHERHUB_PUNE | 16285           | 16285           | 1113883         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_GOA | 83320           | 83320           | 5699065         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_JAI | 83320           | 83320           | 5699065         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_STV | 83320           | 83320           | 5699065         |
| 6       | 8-MOTHERHUB_KOL-24   | pickupShipment        | MOTHERHUB_CHN-MOTHERHUB_AMD | 83320           | 83320           | 5699065         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_CHN | 83320           | 83320           | 5699065         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_CHN | 83320           | 83320           | 5699065         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_BLR | 96114           | 96114           | 6574211         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_BLR | 96114           | 96114           | 6574211         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_IXR-MOTHERHUB_CJB | 108111          | 108111          | 7394815         |
| 6       | 8-MOTHERHUB_KOL-24   | deliverShipment       | MOTHERHUB_KOL-MOTHERHUB_CJB | 108111          | 108111          | 7394815         |
