Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_time,Ready_time_1,key_leg2
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-2.5181805555552,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,9065,91,44596,2.518180556,MOTHERHUB_BIL-MOTHERHUB_BLR-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-4.37984722222233,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,15767,2,51298,4.379847222,MOTHERHUB_BIL-MOTHERHUB_BLR-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-5.18370833333287,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,18661,12,54192,5.183708333,MOTHERHUB_BIL-MOTHERHUB_BLR-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-12.8692638888889,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,46329,69,81860,12.86926389,MOTHERHUB_BIL-MOTHERHUB_BLR-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-23.3310833333341,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,83992,12,33122,23.33108333,MOTHERHUB_BIL-MOTHERHUB_BLR-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-2.51818055555519,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,9065,329,44596,2.518180556,MOTHERHUB_BIL-MOTHERHUB_BLR-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-4.37984722222232,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,15767,10,51298,4.379847222,MOTHERHUB_BIL-MOTHERHUB_BLR-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-5.18370833333286,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,18661,35,54192,5.183708333,MOTHERHUB_BIL-MOTHERHUB_BLR-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-12.8692638888889,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,46329,247,81860,12.86926389,MOTHERHUB_BIL-MOTHERHUB_BLR-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-23.3310833333341,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,83992,43,33122,23.33108333,MOTHERHUB_BIL-MOTHERHUB_BLR-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-4.65418055555556,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,16755,1924,81860,4.654180556,MOTHERHUB_BIL-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-15.1160000000008,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,54418,609,33122,15.116,MOTHERHUB_BIL-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-18.3030972222219,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,65891,2222,44596,18.30309722,MOTHERHUB_BIL-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-20.164763888889,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,72593,141,51298,20.16476389,MOTHERHUB_BIL-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_BLR-20.9686249999995,19.2374987,73.0362352,12.9842798,77.8242648,MOTHERHUB_BIL,MOTHERHUB_BLR,75487,299,54192,20.968625,MOTHERHUB_BIL-MOTHERHUB_BLR-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-3.24509722222268,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,11682,18,84941,3.245097222,MOTHERHUB_BIL-MOTHERHUB_CHN-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-16.0380138888885,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,57737,2,44596,16.03801389,MOTHERHUB_BIL-MOTHERHUB_CHN-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-3.24480555555601,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,11681,73,84941,3.244805556,MOTHERHUB_BIL-MOTHERHUB_CHN-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-16.0377222222219,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,57736,11,44596,16.03772222,MOTHERHUB_BIL-MOTHERHUB_CHN-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-6.78138888888853,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,24413,13,44596,6.781388889,MOTHERHUB_BIL-MOTHERHUB_CHN-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_CHN-17.9884722222227,19.2374987,73.0362352,13.04591,80.067723,MOTHERHUB_BIL,MOTHERHUB_CHN,64759,879,84941,17.98847222,MOTHERHUB_BIL-MOTHERHUB_CHN-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-4.61748611111135,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,16623,19,2731,4.617486111,MOTHERHUB_BIL-MOTHERHUB_JAI-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-5.90938888888865,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,21274,23,7382,5.909388889,MOTHERHUB_BIL-MOTHERHUB_JAI-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-4.28761111111134,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,15435,32,2731,4.287611111,MOTHERHUB_BIL-MOTHERHUB_JAI-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-5.57951388888864,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,20086,66,7382,5.579513889,MOTHERHUB_BIL-MOTHERHUB_JAI-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-12.4921111111113,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,44972,370,2731,12.49211111,MOTHERHUB_BIL-MOTHERHUB_JAI-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_JAI-13.7840138888886,19.2374987,73.0362352,26.948928,75.761927,MOTHERHUB_BIL,MOTHERHUB_JAI,49622,245,7382,13.78401389,MOTHERHUB_BIL-MOTHERHUB_JAI-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-0.607083333333557,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,2186,7,34855,0.607083333,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-1.13876388888866,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,4100,13,36769,1.138763889,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-2.30391666666652,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,8294,3,40963,2.303916667,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-2.70615277777786,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,9742,4,42411,2.706152778,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-4.9735972222229,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,17905,5,50574,4.973597222,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-5.51704166666586,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,19861,5,52531,5.517041667,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-12.6536388888889,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,45553,2,78222,12.65363889,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-14.589375,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,52522,19,85191,14.589375,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-18.6256249999999,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,67052,18,13321,18.625625,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-19.6356388888883,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,70688,2,16958,19.63563889,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-20.279,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,73004,4,19274,20.279,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-22.1409999999999,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,79708,13,25977,22.141,MOTHERHUB_BIL-MOTHERHUB_KOL-17.1358333333333
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-0.973708333333571,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,3505,18,34855,0.973708333,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-1.50538888888867,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,5419,26,36769,1.505388889,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-2.67054166666654,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,9614,21,40963,2.670541667,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-3.07277777777787,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,11062,24,42411,3.072777778,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-5.34022222222291,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,19225,14,50574,5.340222222,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-5.88366666666587,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,21181,24,52531,5.883666667,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-13.0202638888889,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,46873,11,78222,13.02026389,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-14.956,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,53842,123,85191,14.956,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-18.9922499999999,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,68372,62,13321,18.99225,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-20.0022638888883,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,72008,7,16958,20.00226389,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-20.645625,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,74324,10,19274,20.645625,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-22.5076249999999,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,81027,45,25977,22.507625,MOTHERHUB_BIL-MOTHERHUB_KOL-17.7452777777778
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-0.101083333332529,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,364,302,52531,0.101083333,MOTHERHUB_BIL-MOTHERHUB_KOL-3
Shipment,MOTHERHUB_BIL-MOTHERHUB_KOL-7.23768055555557,19.2374987,73.0362352,22.708183,88.28565,MOTHERHUB_BIL,MOTHERHUB_KOL,26056,135,78222,7.237680556,MOTHERHUB_BIL-MOTHERHUB_KOL-3
