 route   , vehicle              , activity              , job             , arrTime         , endTime         , costs           ,,,
8, 3-MOTHERHUB_PTI-22   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_STV ,17116,17116,5344731,,,
8, 3-MOTHERHUB_PTI-22   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_BIL ,17116,17116,5344731,,,
8, 3-MOTHERHUB_PTI-22   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_STV ,83340,83340,26025047,,,
8, 3-MOTHERHUB_PTI-22   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_STV ,83340,83340,26025047,,,
8, 3-MOTHERHUB_PTI-22   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_BLR ,83340,83340,26025047,,,
8, 3-MOTHERHUB_PTI-22   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_BIL ,102505,102505,32009716,,,
8, 3-MOTHERHUB_PTI-22   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_BLR ,182624,182624,57028657,50.7288888889,2.1137037037,57028.657
8, 3-MOTHERHUB_PTI-22   , end                   , -               ,182624, undef           ,57028657,,,
,,,,,,,,,
9, 4-MOTHERHUB_PTI-22   , start                 , -               , undef           ,0,0,,,
9, 4-MOTHERHUB_PTI-22   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-5 ,0,0,0,,,
9, 4-MOTHERHUB_PTI-22   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-5 ,121014,121014,37789478,33.615,1.400625,37789.478
9, 4-MOTHERHUB_PTI-22   , end                   , -               ,121014, undef           ,37789478,,,
,,,,,,,,,
10, 0-MOTHERHUB_PTI-28   , start                 , -               , undef           ,0,0,,,
10, 0-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_CHN ,0,0,0,,,
10, 0-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_CHN ,21783,21783,6325890,,,
10, 0-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_CHN ,211974,211974,61557137,,,
10, 0-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_CHN ,211974,211974,61557137,58.8816666667,2.4534027778,61557.137
10, 0-MOTHERHUB_PTI-28   , end                   , -               ,211974, undef           ,61557137,,,
,,,,,,,,,
11, 8-MOTHERHUB_PTI-28   , start                 , -               , undef           ,0,0,,,
11, 8-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-3 ,0,0,0,,,
11, 8-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_AMD ,21783,21783,6325890,,,
11, 8-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_AMD ,87052,87052,25279912,,,
11, 8-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-3 ,135452,135452,39335351,37.6255555556,1.5677314815,39335.351
11, 8-MOTHERHUB_PTI-28   , end                   , -               ,135452, undef           ,39335351,,,
,,,,,,,,,
12, 9-MOTHERHUB_PTI-28   , start                 , -               , undef           ,0,0,,,
12, 9-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_MED-2 ,0,0,0,,,
12, 9-MOTHERHUB_PTI-28   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_MED ,21783,21783,6325890,,,
12, 9-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_MED ,149181,149181,43322285,,,
12, 9-MOTHERHUB_PTI-28   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_MED-2 ,149181,149181,43322285,41.4391666667,1.7266319444,43322.285
12, 9-MOTHERHUB_PTI-28   , end                   , -               ,149181, undef           ,43322285,,,
,,,,,,,,,
13, 0-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
13, 0-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-1 ,0,0,0,,,
13, 0-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-1 ,154017,154017,45191369,42.7825,1.7826041667,45191.369
13, 0-MOTHERHUB_PTI-32   , end                   , -               ,154017, undef           ,45191369,,,
,,,,,,,,,
14, 1-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
14, 1-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-4 ,0,0,0,,,
14, 1-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-4 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
14, 1-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
15, 2-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
15, 2-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-3 ,0,0,0,,,
15, 2-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-3 ,154017,154017,45191369,42.7825,1.7826041667,45191.369
15, 2-MOTHERHUB_PTI-32   , end                   , -               ,154017, undef           ,45191369,,,
,,,,,,,,,
16, 3-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
16, 3-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-2 ,0,0,0,,,
16, 3-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-2 ,127518,127518,37416011,35.4216666667,1.4759027778,37416.011
16, 3-MOTHERHUB_PTI-32   , end                   , -               ,127518, undef           ,37416011,,,
,,,,,,,,,
17, 4-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
17, 4-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-3 ,0,0,0,,,
17, 4-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-3 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
17, 4-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
18, 5-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
18, 5-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BIL-1 ,0,0,0,,,
18, 5-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BIL-1 ,127518,127518,37416011,35.4216666667,1.4759027778,37416.011
18, 5-MOTHERHUB_PTI-32   , end                   , -               ,127518, undef           ,37416011,,,
,,,,,,,,,
19, 6-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
19, 6-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-2 ,0,0,0,,,
19, 6-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-2 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
19, 6-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
20, 7-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
20, 7-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_BLR-1 ,0,0,0,,,
20, 7-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_BLR-1 ,201496,201496,59122498,55.9711111111,2.3321296296,59122.498
20, 7-MOTHERHUB_PTI-32   , end                   , -               ,201496, undef           ,59122498,,,
,,,,,,,,,
21, 8-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
21, 8-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_MED-1 ,0,0,0,,,
21, 8-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_MED-1 ,142102,142102,41695106,39.4727777778,1.6446990741,41695.106
21, 8-MOTHERHUB_PTI-32   , end                   , -               ,142102, undef           ,41695106,,,
,,,,,,,,,
22, 9-MOTHERHUB_PTI-32   , start                 , -               , undef           ,0,0,,,
22, 9-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_JAI ,0,0,0,,,
22, 9-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_JAI ,21783,21783,6391613,,,
22, 9-MOTHERHUB_PTI-32   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_KOL-2 ,43567,43567,12783227,,,
22, 9-MOTHERHUB_PTI-32   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_KOL-2 ,197584,197584,57974596,54.8844444444,2.2868518519,57974.596
22, 9-MOTHERHUB_PTI-32   , end                   , -               ,197584, undef           ,57974596,,,
,,,,,,,,,
23, 0-MOTHERHUB_PTI-24   , start                 , -               , undef           ,0,0,,,
23, 0-MOTHERHUB_PTI-24   , pickupShipment        , MOTHERHUB_PTI-MOTHERHUB_AMD ,0,0,0,,,
23, 0-MOTHERHUB_PTI-24   , deliverShipment       , MOTHERHUB_PTI-MOTHERHUB_AMD ,68397,68397,22851078,18.9991666667,0.7916319444,22851.078
23, 0-MOTHERHUB_PTI-24   , end                   , -               ,68397, undef           ,22851078,,,
,,,,,,,,,
24, 7-MOTHERHUB_STV-32   , start                 , -               , undef           ,0,0,,,
24, 7-MOTHERHUB_STV-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_KOL ,0,0,0,,,
24, 7-MOTHERHUB_STV-32   , pickupShipment        , MOTHERHUB_STV-MOTHERHUB_JAI ,0,0,0,,,
24, 7-MOTHERHUB_STV-32   , pickupShipment        , MOTHERHUB_JAI-MOTHERHUB_KOL ,84286,84286,24731006,,,
24, 7-MOTHERHUB_STV-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_JAI ,84286,84286,24731006,,,
24, 7-MOTHERHUB_STV-32   , deliverShipment       , MOTHERHUB_STV-MOTHERHUB_KOL ,243573,243573,71468352,,,
24, 7-MOTHERHUB_STV-32   , deliverShipment       , MOTHERHUB_JAI-MOTHERHUB_KOL ,243573,243573,71468352,67.6591666667,2.8191319444,71468.352
24, 7-MOTHERHUB_STV-32   , end                   , -               ,243573, undef           ,71468352,,,
,,,,,,,,,
25, 7-MOTHERHUB_MED-28   , start                 , -               , undef           ,0,0,,,
25, 7-MOTHERHUB_MED-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_KOL ,0,0,0,,,
25, 7-MOTHERHUB_MED-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_KOL ,138494,138494,40218759,38.4705555556,1.6029398148,40218.759
25, 7-MOTHERHUB_MED-28   , end                   , -               ,138494, undef           ,40218759,,,
,,,,,,,,,
26, 6-MOTHERHUB_MED-32   , start                 , -               , undef           ,0,0,,,
26, 6-MOTHERHUB_MED-32   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_PTI-1 ,0,0,0,,,
26, 6-MOTHERHUB_MED-32   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_PTI-1 ,142102,142102,41695106,39.4727777778,1.6446990741,41695.106
26, 6-MOTHERHUB_MED-32   , end                   , -               ,142102, undef           ,41695106,,,
,,,,,,,,,
27, 5-MOTHERHUB_MED-14   , start                 , -               , undef           ,0,0,,,
27, 5-MOTHERHUB_MED-14   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_BLR-2 ,0,0,0,,,
27, 5-MOTHERHUB_MED-14   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_CHN ,0,0,0,,,
27, 5-MOTHERHUB_MED-14   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_BLR-2 ,47880,47880,14583944,,,
27, 5-MOTHERHUB_MED-14   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_CHN ,70453,70453,21459616,19.5702777778,0.8154282407,21459.616
27, 5-MOTHERHUB_MED-14   , end                   , -               ,70453, undef           ,21459616,,,
,,,,,,,,,
28, 1-MOTHERHUB_CHN-28   , start                 , -               , undef           ,0,0,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_BIL ,0,0,0,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_MED ,0,0,0,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_STV ,0,0,0,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_AMD ,0,0,0,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_JAI ,0,0,0,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_MED ,62923,62923,18272975,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_JAI ,62923,62923,18272975,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_PTI-2 ,62923,62923,18272975,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_AMD ,62923,62923,18272975,,,
28, 1-MOTHERHUB_CHN-28   , pickupShipment        , MOTHERHUB_MED-MOTHERHUB_STV ,62923,62923,18272975,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_BIL ,134062,134062,38931721,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_STV ,158454,158454,46015025,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_STV ,158454,158454,46015025,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_AMD ,182509,182509,53000529,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_AMD ,182509,182509,53000529,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_JAI ,247777,247777,71954551,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_JAI ,247777,247777,71954551,,,
28, 1-MOTHERHUB_CHN-28   , deliverShipment       , MOTHERHUB_MED-MOTHERHUB_PTI-2 ,269561,269561,78280441,74.8780555556,3.1199189815,78280.441
28, 1-MOTHERHUB_CHN-28   , end                   , -               ,269561, undef           ,78280441,,,
,,,,,,,,,
29, 6-MOTHERHUB_CHN-32   , start                 , -               , undef           ,0,0,,,
29, 6-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_BLR ,0,0,0,,,
29, 6-MOTHERHUB_CHN-32   , deliverShipment       , MOTHERHUB_CHN-MOTHERHUB_BLR ,28730,28730,8429741,7.9805555556,0.3325231481,8429.741
29, 6-MOTHERHUB_CHN-32   , end                   , -               ,28730, undef           ,8429741,,,
,,,,,,,,,
30, 9-MOTHERHUB_CHN-32   , start                 , -               , undef           ,0,0,,,
30, 9-MOTHERHUB_CHN-32   , pickupShipment        , MOTHERHUB_CHN-MOTHERHUB_PTI ,0,0,0,,,
30, 9-MOTHERHUB_CHN-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_AMD ,28730,28730,8429741,,,
30, 9-MOTHERHUB_CHN-32   , pickupShipment        , MotherHub_BLR-MOTHERHUB_JAI ,28730,28730,8429741,,,
30, 9-MOTHERHUB_CHN-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_AMD ,174436,174436,51182471,,,
30, 9-MOTHERHUB_CHN-32   , deliverShipment       , MotherHub_BLR-MOTHERHUB_JAI ,239705,239705,70333418,,,
