Type,key_leg3,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Total
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-3,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,10800,2890
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-4.49138889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,16169,566
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-5.55611111,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,20002,21
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-6.08222222000001,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,21896,179
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-6.66944444000001,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,24010,13
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-7.15277777999999,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,25750,12
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-7.94416667,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,28599,299
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.04888889,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,28976,84
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.31472221999999,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,29933,9
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.58444444,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,30904,14
Shipment,MOTHERHUB_BLR-MOTHERHUB_CJB-8.84972222,12.9842798,77.8242648,11.0633423,77.0910944,MOTHERHUB_BLR,MOTHERHUB_CJB,31859,9
