Type,key,src_lat,src_long,dest_lat,dest_long,src_mh,dest_mh,Ready_time,Load,delivery_time,act_src,act_dest
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-17.9336111111111,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_JAI,64561,82,345361,MOTHERHUB_KOL,MOTHERHUB_PTI
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-19.6308333333333,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_JAI,70671,35,351471,MOTHERHUB_KOL,MOTHERHUB_PTI
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-20.0286111111111,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_JAI,72103,60,352903,MOTHERHUB_KOL,MOTHERHUB_PTI
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-21.2561111111111,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_JAI,76522,31,357322,MOTHERHUB_KOL,MOTHERHUB_PTI
Shipment,MOTHERHUB_KOL-MOTHERHUB_JAI-3,22.708183,88.28565,28.294166,76.855804,MOTHERHUB_KOL,MOTHERHUB_JAI,10800,236,291600,MOTHERHUB_KOL,MOTHERHUB_PTI
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-13.9855555555556,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,50348,86,331148,MOTHERHUB_KOL,MOTHERHUB_MED
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-17.9336111111111,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,64561,101,345361,MOTHERHUB_KOL,MOTHERHUB_MED
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-19.6308333333333,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,70671,61,351471,MOTHERHUB_KOL,MOTHERHUB_MED
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-20.0286111111111,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,72103,79,352903,MOTHERHUB_KOL,MOTHERHUB_MED
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-21.2561111111111,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,76522,58,357322,MOTHERHUB_KOL,MOTHERHUB_MED
Shipment,MOTHERHUB_KOL-MOTHERHUB_MED-3,22.708183,88.28565,17.580519,78.469527,MOTHERHUB_KOL,MOTHERHUB_MED,10800,561,291600,MOTHERHUB_KOL,MOTHERHUB_MED
