Type,key,src_lat,src_long,dest_lat,dest_long,origin_hub,dest_mh,order_pattern,Load
Shipment,MOTHERHUB_MED-MOTHERHUB_GOA,17.580519,78.469527,15.3682554,73.946764,MOTHERHUB_MED,MOTHERHUB_GOA,0,333
Shipment,MOTHERHUB_MED-MOTHERHUB_PUNE,17.580519,78.469527,18.6087917,73.7268817,MOTHERHUB_MED,MOTHERHUB_PUNE,0,1802
Shipment,MOTHERHUB_MED-MOTHERHUB_MUM,17.580519,78.469527,19.1170238,72.8580558,MOTHERHUB_MED,MOTHERHUB_MUM,0,1337
Shipment,MOTHERHUB_MED-MOTHERHUB_BIL,17.580519,78.469527,19.2374987,73.0362352,MOTHERHUB_MED,MOTHERHUB_BIL,0,1173
Shipment,MOTHERHUB_MED-MOTHERHUB_BBI,17.580519,78.469527,20.295471,85.84707,MOTHERHUB_MED,MOTHERHUB_BBI,0,749
Shipment,MOTHERHUB_MED-MOTHERHUB_STV,17.580519,78.469527,21.0895987,72.900005,MOTHERHUB_MED,MOTHERHUB_STV,0,239
Shipment,MOTHERHUB_MED-MOTHERHUB_RAI,17.580519,78.469527,22.056106,82.171855,MOTHERHUB_MED,MOTHERHUB_RAI,0,393
Shipment,MOTHERHUB_MED-MOTHERHUB_KOL,17.580519,78.469527,22.708183,88.28565,MOTHERHUB_MED,MOTHERHUB_KOL,0,2287
Shipment,MOTHERHUB_MED-MOTHERHUB_IDR,17.580519,78.469527,22.777113,75.9021171,MOTHERHUB_MED,MOTHERHUB_IDR,0,451
Shipment,MOTHERHUB_MED-MOTHERHUB_AMD,17.580519,78.469527,22.8978044,72.5902141,MOTHERHUB_MED,MOTHERHUB_AMD,0,746
Shipment,MOTHERHUB_MED-MOTHERHUB_IXR,17.580519,78.469527,23.352715,85.343538,MOTHERHUB_MED,MOTHERHUB_IXR,0,440
Shipment,MOTHERHUB_MED-MOTHERHUB_PAT,17.580519,78.469527,25.587197,85.185842,MOTHERHUB_MED,MOTHERHUB_PAT,0,591
Shipment,MOTHERHUB_MED-MOTHERHUB_GAU,17.580519,78.469527,26.043197,91.705232,MOTHERHUB_MED,MOTHERHUB_GAU,0,721
Shipment,MOTHERHUB_MED-MOTHERHUB_LKO,17.580519,78.469527,26.755912,80.910939,MOTHERHUB_MED,MOTHERHUB_LKO,0,295
