Type,key,dest_mh_lat,dest_mh_long,DH_lat,DH_long,DH,dest_mh,ready_time,Load,pickup_add_time,finalready_time
Shipment,MOTHERHUB_AMD-MEHSANAHUB_MHN-c,22.8978044,72.5902141,23.5972549,72.3793129,MEHSANAHUB_MHN,MOTHERHUB_AMD,72000,164,14400,86400
Shipment,MOTHERHUB_AMD-MEHSANAHUB_MHN-p,22.8978044,72.5902141,23.5972549,72.3793129,MEHSANAHUB_MHN,MOTHERHUB_AMD,72000,113,0,72000
Shipment,MOTHERHUB_AMD-MORBIHUB_MRB-c,22.8978044,72.5902141,22.8185931,70.821625,MORBIHUB_MRB,MOTHERHUB_AMD,72000,118,14400,86400
Shipment,MOTHERHUB_AMD-MORBIHUB_MRB-p,22.8978044,72.5902141,22.8185931,70.821625,MORBIHUB_MRB,MOTHERHUB_AMD,72000,91,0,72000
Shipment,MOTHERHUB_AMD-MUNDRAHUB_MUD-c,22.8978044,72.5902141,22.8422969,69.7320994,MUNDRAHUB_MUD,MOTHERHUB_AMD,72000,93,14400,86400
Shipment,MOTHERHUB_AMD-MUNDRAHUB_MUD-p,22.8978044,72.5902141,22.8422969,69.7320994,MUNDRAHUB_MUD,MOTHERHUB_AMD,72000,63,0,72000
Shipment,MOTHERHUB_AMD-NADIADHUB_AMD-c,22.8978044,72.5902141,23.5,88.6,NADIADHUB_AMD,MOTHERHUB_AMD,72000,111,14400,86400
Shipment,MOTHERHUB_AMD-NADIADHUB_AMD-p,22.8978044,72.5902141,23.5,88.6,NADIADHUB_AMD,MOTHERHUB_AMD,72000,2,0,72000
Shipment,MOTHERHUB_AMD-PALANPURHUB_PLN-c,22.8978044,72.5902141,24.1743804,72.4089852,PALANPURHUB_PLN,MOTHERHUB_AMD,72000,111,14400,86400
Shipment,MOTHERHUB_AMD-PALANPURHUB_PLN-p,22.8978044,72.5902141,24.1743804,72.4089852,PALANPURHUB_PLN,MOTHERHUB_AMD,72000,74,0,72000
Shipment,MOTHERHUB_AMD-PORBANDARHUB_POR-c,22.8978044,72.5902141,21.6468447,69.6345955,PORBANDARHUB_POR,MOTHERHUB_AMD,72000,99,14400,86400
Shipment,MOTHERHUB_AMD-PORBANDARHUB_POR-p,22.8978044,72.5902141,21.6468447,69.6345955,PORBANDARHUB_POR,MOTHERHUB_AMD,72000,68,0,72000
Shipment,MOTHERHUB_AMD-RANIPHUB_AMD-c,22.8978044,72.5902141,23.0803,72.5719,RANIPHUB_AMD,MOTHERHUB_AMD,72000,220,14400,86400
Shipment,MOTHERHUB_AMD-RANIPHUB_AMD-p,22.8978044,72.5902141,23.0803,72.5719,RANIPHUB_AMD,MOTHERHUB_AMD,72000,327,0,72000
Shipment,MOTHERHUB_AMD-SILVASSAHUB_AMD-c,22.8978044,72.5902141,20.3,73,SILVASSAHUB_AMD,MOTHERHUB_AMD,72000,66,14400,86400
Shipment,MOTHERHUB_AMD-SILVASSAHUB_AMD-p,22.8978044,72.5902141,20.3,73,SILVASSAHUB_AMD,MOTHERHUB_AMD,72000,4,0,72000
Shipment,MOTHERHUB_AMD-SURENDRANAGARHUB_SDR-c,22.8978044,72.5902141,22.7196472,71.6608486,SURENDRANAGARHUB_SDR,MOTHERHUB_AMD,72000,139,14400,86400
Shipment,MOTHERHUB_AMD-SURENDRANAGARHUB_SDR-p,22.8978044,72.5902141,22.7196472,71.6608486,SURENDRANAGARHUB_SDR,MOTHERHUB_AMD,72000,3,0,72000
Shipment,MOTHERHUB_AMD-VEJALPURHUB_ADI-c,22.8978044,72.5902141,23.0096118,72.5243393,VEJALPURHUB_ADI,MOTHERHUB_AMD,72000,182,14400,86400
Shipment,MOTHERHUB_AMD-VEJALPURHUB_ADI-p,22.8978044,72.5902141,23.0096118,72.5243393,VEJALPURHUB_ADI,MOTHERHUB_AMD,72000,267,0,72000
Shipment,MOTHERHUB_BAM-AGRAHUB_AGR-c,28.545321,77.02914,27.205372,77.970991,AGRAHUB_AGR,MOTHERHUB_BAM,72000,290,14400,86400
Shipment,MOTHERHUB_BAM-AGRAHUB_AGR-p,28.545321,77.02914,27.205372,77.970991,AGRAHUB_AGR,MOTHERHUB_BAM,72000,526,0,72000
Shipment,MOTHERHUB_BAM-AGRAMPHUB_AGR-c,28.545321,77.02914,27.205372,77.970991,AGRAMPHUB_AGR,MOTHERHUB_BAM,72000,242,14400,86400
Shipment,MOTHERHUB_BAM-AGRAMPHUB_AGR-p,28.545321,77.02914,27.205372,77.970991,AGRAMPHUB_AGR,MOTHERHUB_BAM,72000,13,0,72000
Shipment,MOTHERHUB_BAM-ALIGARHHUB_ALG-c,28.545321,77.02914,27.89074,78.03265,ALIGARHHUB_ALG,MOTHERHUB_BAM,72000,202,14400,86400
Shipment,MOTHERHUB_BAM-ALIGARHHUB_ALG-p,28.545321,77.02914,27.89074,78.03265,ALIGARHHUB_ALG,MOTHERHUB_BAM,72000,443,0,72000
Shipment,MOTHERHUB_BAM-ALIGARHMPHUB_ALG-c,28.545321,77.02914,27.89074,78.03265,ALIGARHMPHUB_ALG,MOTHERHUB_BAM,72000,22,14400,86400
Shipment,MOTHERHUB_BAM-ALIGARHMPHUB_ALG-p,28.545321,77.02914,27.89074,78.03265,ALIGARHMPHUB_ALG,MOTHERHUB_BAM,72000,1,0,72000
Shipment,MOTHERHUB_BAM-ALIPURHUB_DEL-c,28.545321,77.02914,28.711593,77.175141,ALIPURHUB_DEL,MOTHERHUB_BAM,,137,,0
Shipment,MOTHERHUB_BAM-ALIPURHUB_DEL-p,28.545321,77.02914,28.711593,77.175141,ALIPURHUB_DEL,MOTHERHUB_BAM,,446,,0
Shipment,MOTHERHUB_BAM-ALIPURMPHUB_DEL-c,28.545321,77.02914,28.711593,77.175141,ALIPURMPHUB_DEL,MOTHERHUB_BAM,,393,,0
Shipment,MOTHERHUB_BAM-ALIPURMPHUB_DEL-p,28.545321,77.02914,28.711593,77.175141,ALIPURMPHUB_DEL,MOTHERHUB_BAM,,28,,0
Shipment,MOTHERHUB_BAM-ANANDVIHARHUB_DEL-c,28.545321,77.02914,28.644665,77.315615,ANANDVIHARHUB_DEL,MOTHERHUB_BAM,,181,,0
Shipment,MOTHERHUB_BAM-ANANDVIHARHUB_DEL-p,28.545321,77.02914,28.644665,77.315615,ANANDVIHARHUB_DEL,MOTHERHUB_BAM,,1348,,0
Shipment,MOTHERHUB_BAM-BADSHAHPURHUB_DEL-c,28.545321,77.02914,28.396851,77.046063,BADSHAHPURHUB_DEL,MOTHERHUB_BAM,,245,,0
Shipment,MOTHERHUB_BAM-BADSHAHPURHUB_DEL-p,28.545321,77.02914,28.396851,77.046063,BADSHAHPURHUB_DEL,MOTHERHUB_BAM,,969,,0
Shipment,MOTHERHUB_BAM-BADSHAHPURMPHUB_DEL-c,28.545321,77.02914,28.396851,77.046063,BADSHAHPURMPHUB_DEL,MOTHERHUB_BAM,,28,,0
Shipment,MOTHERHUB_BAM-BADSHAHPURMPHUB_DEL-p,28.545321,77.02914,28.396851,77.046063,BADSHAHPURMPHUB_DEL,MOTHERHUB_BAM,,2,,0
Shipment,MOTHERHUB_BAM-BAHADURGARHHUB_BHD-c,28.545321,77.02914,28.70882,76.886508,BAHADURGARHHUB_BHD,MOTHERHUB_BAM,,81,,0
Shipment,MOTHERHUB_BAM-BAHADURGARHHUB_BHD-p,28.545321,77.02914,28.70882,76.886508,BAHADURGARHHUB_BHD,MOTHERHUB_BAM,,83,,0
