Type,key,src_lat,src_long,dest_lat,dest_long,src,dest,Ready_time,Load,Delivery_start_time,Delivery_end_time,time,hour,t,Load
Shipment,MotherHub_AMD_surendranagarhub_sdr_11,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,39600,44,95400,122400,4.216235897,11,0.204,211
Shipment,MotherHub_AMD_surendranagarhub_sdr_15,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,54000,46,95400,122400,4.216235897,15,0.216,211
Shipment,MotherHub_AMD_surendranagarhub_sdr_19,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,68400,52,95400,122400,4.216235897,19,0.242,211
Shipment,MotherHub_AMD_surendranagarhub_sdr_23,22.8978044,72.5902141,22.7196472,71.6608486,MotherHub_AMD,surendranagarhub_sdr,82800,54,95400,122400,4.216235897,23,0.253,211
Shipment,MotherHub_AMD_unahub_una_3,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,10800,12,118800,129600,12.16117266,3,0.051,233
Shipment,MotherHub_AMD_unahub_una_7,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,25200,8,118800,129600,12.16117266,7,0.034,233
Shipment,MotherHub_AMD_unahub_una_11,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,39600,48,118800,129600,12.16117266,11,0.204,233
Shipment,MotherHub_AMD_unahub_una_15,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,54000,51,118800,129600,12.16117266,15,0.216,233
Shipment,MotherHub_AMD_unahub_una_19,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,68400,57,118800,129600,12.16117266,19,0.242,233
Shipment,MotherHub_AMD_unahub_una_23,22.8978044,72.5902141,20.8235,71.0409,MotherHub_AMD,unahub_una,82800,59,118800,129600,12.16117266,23,0.253,233
Shipment,MotherHub_AMD_veravalhub_vrv_3,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,10800,10,118800,122400,11.60371472,3,0.051,182
Shipment,MotherHub_AMD_veravalhub_vrv_7,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,25200,7,118800,122400,11.60371472,7,0.034,182
Shipment,MotherHub_AMD_veravalhub_vrv_11,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,39600,38,118800,122400,11.60371472,11,0.204,182
Shipment,MotherHub_AMD_veravalhub_vrv_15,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,54000,40,118800,122400,11.60371472,15,0.216,182
Shipment,MotherHub_AMD_veravalhub_vrv_19,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,68400,45,118800,122400,11.60371472,19,0.242,182
Shipment,MotherHub_AMD_veravalhub_vrv_23,22.8978044,72.5902141,21.5219366,70.4552781,MotherHub_AMD,veravalhub_vrv,82800,47,118800,122400,11.60371472,23,0.253,182
